1008PS-472KLC;1;2304;Coilcraft ;Силовые индукторы - поверхностный монтаж 1008 4.7uH Shld 10% 950mA 350mOhms;;;;;;
10AS016E4F27I3SG;14;2207;Intel;FPGA - Программируемая вентильная матрица Arria 10 SX 160 SoC FPGA ;;;;;;
10AX032E4F29I3SG;11;2237;Intel;FPGA - Программируемая вентильная матрица Arria 10 GX 320 FPGA ;;;;;;
106-M2-P10-10A;5;1905;E-T-A Circuit Breakers ;Автоматические выключатели Miniaturised single pole thermal circuit breaker with push-to-reset tease free, trip-free, snap action mechanism (R-type TO CBE to EN 60934), threadneck mounting. Approved to CBE standard EN 60934 (IEC 60934). For higher current ratings see type 1140 ;;;;;;
112J-TDAR-R01 ;3;2330;;;;;;;;
112J-TDAR-R01-R3;2;2330;ATTEND Technology;9 (8 + 1) Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold;;;;;;
116SL101M100TT;0;2225;ATC / KYOCERA AVX ;Специальные керамические конденсаторы 100Volts 100pF 20% Single Layer Cap ;;;;;;
1206CS-101XJL;61;год не марк.;Coilcraft ;Катушки постоянной индуктивности 1206CS 100nH 5% 0.85A AEC-Q200;;;;;;
1206L050/15YR;1;2205;Littelfuse Inc.;Восстанавливаемые предохранители - PPTC 15V 1206 .500A POLYFUSE ;;;;;;
125МГц 3.3В,LVDS SMD 5x3.2мм;1;2024;;Кварцевый генератор 125МГц 3.3В,LVDS SMD 5x3.2мм;;;;;;
132360;10;2222, 2226;Amphenol ;РЧ-клеммы SMA MALE RESISTOR CAP 50 Ohm;;;;;;
132360;65;2217;Amphenol ;РЧ-клеммы SMA MALE RESISTOR CAP 50 Ohm;;;;;;
135-3711-801;3;год не марк.;Cinch Connectivity Solutions ;РЧ соединители / Коаксиальные соединители PC END MNT JCK ;;;;;;
1473005-4;0;год не марк.;TE Connectivity ;Соединители DIMM DDR2 SODIMM 200P STANDARD HOUSING ;;;;;;
1.5KE180CA;15;не марк;STMicroelectronics;Диоды подавления переходных скачков напряжения (TVS) 1500W 180V Bidirect ;;;;;;
150040BS73240;3;2235;Würth Elektronik;Стандартные светодиоды - Накладного монтажа WL-SMCC SMD Mono SMD 0402 Blue 470nm ;;;;;;
1.691.1200.50;2;2319;HUMMEL;"Кабельный ввод; с заземлением; M12; 1,5; IP68; латунь; HSK-M-EMC";;;;;;
1658621-1;3;год не марк.;TE Connectivity ;Проводные клеммы и зажимы CNTR PLRZD RECPT 10P NOVO;;;;;;
1759088 (MSTB_2,5/_9-G-5,08);1;год не марк.;Phoenix Contact ;Съемные клеммные колодки 9 Pos 5.08mm pitch Through Hole Header ;;;;;;
1759143 (MSTB_2,5/15-G-5,08);1;год не марк.;Phoenix Contact ;Съемные клеммные колодки 15 Pos 5.08mm pitch Through Hole Header ;;;;;;
1812SMS-22NGLC;1;2311;Coilcraft ;РЧ-индукторы - поверхностный монтаж 1812 22nH Unshld 2% 3A 4.2mOhms AECQ2 ;;;;;;
1N4007 (M7);16;2123;;Выпрямители Diode, DO-41, 1000V, 1A;;;;;;
1N4730A;50;год не марк.;Китай;Стабилитрон 3.9В, 5%, 1Вт, DO-41;;;;;;
1N4751A-TR;10;год не марк.;Vishay;Стабилитроны 30 Volt 1.3 Watt DO-41-2 ;;;;;;
1N5817;50;2015;STMicroelectronics ;Diode Schottky 20 V 1A Through Hole DO-41;;;;;;
1PS79SB70;2455;0233;Philips;Диоды и выпрямители Шоттки DIODE SCHOTTKY TAPE-7 ;;;;;;
0215004.MXP ;22;1922;Littelfuse ;Патронные плавкие предохранители 250V 4A Slo-Blo ;;;;;;
2036-07-SM;10;2202;Bourns Inc.;Газоразрядные трубки / газоплазменные разрядники Sparkover100V/s 75V Miniature 3 Pole ;;;;;;
2053-07-SM-RPLF;1;2411;Bourns Inc.;Gas Discharge Tube 75 V 3000A (3kA) ±20% 2 Pole Surface Mount;;;;;;
2060-452/998-404;5;год не марк.;WAGO;Клеммная колодка типа провод к плате, 4 мм, 2 вывод(-ов), 24 AWG, 18 AWG, 0.75 мм²;;;;;;
02-08-1201 (0002081201);3;2233;Molex ;Проводные клеммы и зажимы SOCKET 14-20AWG;;;;;;
242163;1;2221;Amphenol RF;РЧ адаптеры - междусерийные Adapter Coaxial Connector SMA Jack, Female Socket To N Jack, Female Socket 50Ohm;;;;;;
252100-М;900;год не марк.;ДКС;Хомут P6.6 маркировочный, белый, 2,5х100, табличка 8х25,4;;;;;;
"2EDGKM-3.5-2P 
(аналог MC 1.5/2-STF-3.5, арт. 1847055)";50;2117;Phoenix Contact ;Разъемы для печатной платы;;;;;;
"2EDGKM-3.5-4P 
(аналог MCVR 1.5/4-STF-3.5, арт. 1863327) ";50;2117;Phoenix Contact ;Разъемы для печатной платы;;;;;;
"2EDGVM-5-0-2P 
(аналог MSTBV 2,5/ 2-GF арт.1776883)";45;2117;;;;;;;;
2N7002CK,215;55;2017;Nexperia;МОП-транзистор;;;;;;
2PC4617Q;2317;0223;Philips;Биполярные транзистор - BJT TRANS GP TAPE-7 ;;;;;;
30BQ060;0;2324;Hottech;Diode 60 V Surface Mount DO-214AB (SMC);;;;;;
3214X-1-102E;3;2242;Bourns ;Подстроечные резисторы - для поверхностного монтажа 4MM SQ 1KOhmS 10% 5TURN;;;;;;
